GO-Term   	  Count	Name                                                                                                                                                                                       	Category
GO:1902915	      1	negative regulation of protein polyubiquitination                                                                                                                                          	biological_process
GO:0033229	      1	cysteine transmembrane transporter activity                                                                                                                                                	molecular_function
GO:0030249	      1	guanylate cyclase regulator activity                                                                                                                                                       	molecular_function
GO:0008219	      1	cell death                                                                                                                                                                                 	biological_process
GO:0031622	      1	positive regulation of fever generation                                                                                                                                                    	biological_process
GO:0045026	      1	plasma membrane fusion                                                                                                                                                                     	biological_process
GO:1904206	      1	positive regulation of skeletal muscle hypertrophy                                                                                                                                         	biological_process
GO:0047017	      1	prostaglandin F synthase activity                                                                                                                                                          	molecular_function
GO:0001002	      1	RNA polymerase III type 1 promoter sequence-specific DNA binding                                                                                                                           	molecular_function
GO:0001003	      1	RNA polymerase III type 2 promoter sequence-specific DNA binding                                                                                                                           	molecular_function
GO:0001156	      1	TFIIIC-class transcription factor complex binding                                                                                                                                          	molecular_function
GO:0004397	      1	histidine ammonia-lyase activity                                                                                                                                                           	molecular_function
GO:0071870	      1	cellular response to catecholamine stimulus                                                                                                                                                	biological_process
GO:0034156	      1	negative regulation of toll-like receptor 7 signaling pathway                                                                                                                              	biological_process
GO:0141198	      1	protein branched polyubiquitination                                                                                                                                                        	biological_process
GO:0060474	      1	positive regulation of flagellated sperm motility involved in capacitation                                                                                                                 	biological_process
GO:0071261	      1	Ssh1 translocon complex                                                                                                                                                                    	cellular_component
GO:0004807	      1	triose-phosphate isomerase activity                                                                                                                                                        	molecular_function
GO:0008929	      1	methylglyoxal synthase activity                                                                                                                                                            	molecular_function
GO:0019242	      1	methylglyoxal biosynthetic process                                                                                                                                                         	biological_process
GO:0016517	      1	interleukin-12 receptor activity                                                                                                                                                           	molecular_function
GO:0045630	      1	positive regulation of T-helper 2 cell differentiation                                                                                                                                     	biological_process
GO:0031779	      1	melanocortin receptor binding                                                                                                                                                              	molecular_function
GO:0044725	      1	epigenetic programming in the zygotic pronuclei                                                                                                                                            	biological_process
GO:0051290	      1	protein heterotetramerization                                                                                                                                                              	biological_process
GO:0036131	      1	prostaglandin D2 11-ketoreductase activity                                                                                                                                                 	molecular_function
GO:0045703	      1	ketoreductase activity                                                                                                                                                                     	molecular_function
GO:0106137	      1	IkappaB kinase complex binding                                                                                                                                                             	molecular_function
GO:0060672	      1	epithelial cell morphogenesis involved in placental branching                                                                                                                              	biological_process
GO:0036403	      1	arachidonate 8(S)-lipoxygenase activity                                                                                                                                                    	molecular_function
GO:0005175	      1	CD27 receptor binding                                                                                                                                                                      	molecular_function
GO:0048408	      1	epidermal growth factor binding                                                                                                                                                            	molecular_function
GO:0031851	      1	kappa-type opioid receptor binding                                                                                                                                                         	molecular_function
GO:0002366	      1	leukocyte activation involved in immune response                                                                                                                                           	biological_process
GO:0014041	      1	regulation of neuron maturation                                                                                                                                                            	biological_process
GO:0021894	      1	cerebral cortex GABAergic interneuron development                                                                                                                                          	biological_process
GO:0048070	      1	regulation of developmental pigmentation                                                                                                                                                   	biological_process
GO:0019941	      1	modification-dependent protein catabolic process                                                                                                                                           	biological_process
GO:0006873	      1	intracellular monoatomic ion homeostasis                                                                                                                                                   	biological_process
GO:0070257	      1	positive regulation of mucus secretion                                                                                                                                                     	biological_process
GO:0016482	      1	cytosolic transport                                                                                                                                                                        	biological_process
GO:0062062	      1	oligosaccharyltransferase complex binding                                                                                                                                                  	molecular_function
GO:0098908	      1	regulation of neuronal action potential                                                                                                                                                    	biological_process
GO:0010874	      1	regulation of cholesterol efflux                                                                                                                                                           	biological_process
GO:0031580	      1	membrane raft distribution                                                                                                                                                                 	biological_process
GO:0050954	      1	sensory perception of mechanical stimulus                                                                                                                                                  	biological_process
GO:0045585	      1	positive regulation of cytotoxic T cell differentiation                                                                                                                                    	biological_process
GO:0008518	      1	folate:monoatomic anion antiporter activity                                                                                                                                                	molecular_function
GO:0015350	      1	methotrexate transmembrane transporter activity                                                                                                                                            	molecular_function
GO:0061507	      1	2',3'-cyclic GMP-AMP binding                                                                                                                                                               	molecular_function
GO:0035715	      1	chemokine (C-C motif) ligand 2 binding                                                                                                                                                     	molecular_function
GO:0035716	      1	chemokine (C-C motif) ligand 12 binding                                                                                                                                                    	molecular_function
GO:0032422	      1	purine-rich negative regulatory element binding                                                                                                                                            	molecular_function
GO:1990460	      1	leptin receptor binding                                                                                                                                                                    	molecular_function
GO:0048133	      1	male germ-line stem cell asymmetric division                                                                                                                                               	biological_process
GO:0097011	      1	cellular response to granulocyte macrophage colony-stimulating factor stimulus                                                                                                             	biological_process
GO:0090571	      1	RNA polymerase II transcription repressor complex                                                                                                                                          	cellular_component
GO:0150072	      1	positive regulation of arginase activity                                                                                                                                                   	biological_process
GO:0150074	      1	positive regulation of protein-glutamine gamma-glutamyltransferase activity                                                                                                                	biological_process
GO:0039019	      1	pronephric nephron development                                                                                                                                                             	biological_process
GO:0032367	      1	intracellular cholesterol transport                                                                                                                                                        	biological_process
GO:0010878	      1	cholesterol storage                                                                                                                                                                        	biological_process
GO:0019747	      1	regulation of isoprenoid metabolic process                                                                                                                                                 	biological_process
GO:2000480	      1	negative regulation of cAMP-dependent protein kinase activity                                                                                                                              	biological_process
GO:0141162	      1	negative regulation of cAMP/PKA signal transduction                                                                                                                                        	biological_process
GO:1901798	      1	positive regulation of signal transduction by p53 class mediator                                                                                                                           	biological_process
GO:0005115	      1	receptor tyrosine kinase-like orphan receptor binding                                                                                                                                      	molecular_function
GO:2000825	      1	positive regulation of androgen receptor activity                                                                                                                                          	biological_process
GO:0019782	      1	ISG15 activating enzyme activity                                                                                                                                                           	molecular_function
GO:0050153	      1	omega-hydroxydecanoate dehydrogenase activity                                                                                                                                              	molecular_function
GO:0038164	      1	thrombopoietin receptor activity                                                                                                                                                           	molecular_function
GO:0052856	      1	NAD(P)HX epimerase activity                                                                                                                                                                	molecular_function
GO:1900149	      1	positive regulation of Schwann cell migration                                                                                                                                              	biological_process
GO:0070181	      1	small ribosomal subunit rRNA binding                                                                                                                                                       	molecular_function
GO:0033119	      1	negative regulation of RNA splicing                                                                                                                                                        	biological_process
GO:0014829	      1	vascular associated smooth muscle contraction                                                                                                                                              	biological_process
GO:0061870	      1	positive regulation of hepatic stellate cell migration                                                                                                                                     	biological_process
GO:0009593	      1	detection of chemical stimulus                                                                                                                                                             	biological_process
GO:0016509	      1	long-chain-3-hydroxyacyl-CoA dehydrogenase activity                                                                                                                                        	molecular_function
GO:0038046	      1	G protein-coupled enkephalin receptor activity                                                                                                                                             	molecular_function
GO:0038048	      1	dynorphin receptor activity                                                                                                                                                                	molecular_function
GO:0031635	      1	adenylate cyclase-inhibiting opioid receptor signaling pathway                                                                                                                             	biological_process
GO:0001626	      1	nociceptin receptor activity                                                                                                                                                               	molecular_function
GO:0035810	      1	positive regulation of urine volume                                                                                                                                                        	biological_process
GO:0072102	      1	glomerulus morphogenesis                                                                                                                                                                   	biological_process
GO:1990960	      1	basophil homeostasis                                                                                                                                                                       	biological_process
GO:0008112	      1	nicotinamide N-methyltransferase activity                                                                                                                                                  	molecular_function
GO:0030760	      1	pyridine N-methyltransferase activity                                                                                                                                                      	molecular_function
GO:0006769	      1	nicotinamide metabolic process                                                                                                                                                             	biological_process
GO:0072160	      1	nephron tubule epithelial cell differentiation                                                                                                                                             	biological_process
GO:0005350	      1	pyrimidine nucleobase transmembrane transporter activity                                                                                                                                   	molecular_function
GO:0072144	      1	glomerular mesangial cell development                                                                                                                                                      	biological_process
GO:0005091	      1	guanyl-nucleotide exchange factor adaptor activity                                                                                                                                         	molecular_function
GO:0010621	      1	negative regulation of transcription by transcription factor localization                                                                                                                  	biological_process
GO:0034463	      1	90S preribosome assembly                                                                                                                                                                   	biological_process
GO:0048318	      1	axial mesoderm development                                                                                                                                                                 	biological_process
GO:0000461	      1	endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)                                                                                        	biological_process
GO:0030240	      1	skeletal muscle thin filament assembly                                                                                                                                                     	biological_process
GO:2000546	      1	positive regulation of endothelial cell chemotaxis to fibroblast growth factor                                                                                                             	biological_process
GO:0090312	      1	positive regulation of protein deacetylation                                                                                                                                               	biological_process
GO:0035276	      1	ethanol binding                                                                                                                                                                            	molecular_function
GO:0021568	      1	rhombomere 2 development                                                                                                                                                                   	biological_process
GO:0051599	      1	response to hydrostatic pressure                                                                                                                                                           	biological_process
GO:1901858	      1	regulation of mitochondrial DNA metabolic process                                                                                                                                          	biological_process
GO:0010518	      1	positive regulation of phospholipase activity                                                                                                                                              	biological_process
GO:0021847	      1	ventricular zone neuroblast division                                                                                                                                                       	biological_process
GO:0002728	      1	negative regulation of natural killer cell cytokine production                                                                                                                             	biological_process
GO:0005275	      1	amine transmembrane transporter activity                                                                                                                                                   	molecular_function
GO:0086082	      1	cell adhesive protein binding involved in AV node cell-bundle of His cell communication                                                                                                    	molecular_function
GO:0032680	      1	regulation of tumor necrosis factor production                                                                                                                                             	biological_process
GO:0036424	      1	L-phosphoserine phosphatase activity                                                                                                                                                       	molecular_function
GO:0061874	      1	positive regulation of hepatic stellate cell contraction                                                                                                                                   	biological_process
GO:0072051	      1	juxtaglomerular apparatus development                                                                                                                                                      	biological_process
GO:0035702	      1	monocyte homeostasis                                                                                                                                                                       	biological_process
GO:0050671	      1	positive regulation of lymphocyte proliferation                                                                                                                                            	biological_process
GO:1905221	      1	positive regulation of platelet formation                                                                                                                                                  	biological_process
GO:1990959	      1	eosinophil homeostasis                                                                                                                                                                     	biological_process
GO:0004502	      1	kynurenine 3-monooxygenase activity                                                                                                                                                        	molecular_function
GO:0022890	      1	inorganic cation transmembrane transporter activity                                                                                                                                        	molecular_function
GO:0140327	      1	flippase activity                                                                                                                                                                          	molecular_function
GO:0140347	      1	N-retinylidene-phosphatidylethanolamine flippase activity                                                                                                                                  	molecular_function
GO:0072086	      1	specification of loop of Henle identity                                                                                                                                                    	biological_process
GO:0072272	      1	proximal/distal pattern formation involved in metanephric nephron development                                                                                                              	biological_process
GO:0014810	      1	positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion                                                                                     	biological_process
GO:0045237	      1	CXCR1 chemokine receptor binding                                                                                                                                                           	molecular_function
GO:0060400	      1	negative regulation of growth hormone receptor signaling pathway                                                                                                                           	biological_process
GO:1905315	      1	cell proliferation involved in endocardial cushion morphogenesis                                                                                                                           	biological_process
GO:1905316	      1	superior endocardial cushion morphogenesis                                                                                                                                                 	biological_process
GO:1904597	      1	negative regulation of connective tissue replacement involved in inflammatory response wound healing                                                                                       	biological_process
GO:0017176	      1	phosphatidylinositol N-acetylglucosaminyltransferase activity                                                                                                                              	molecular_function
GO:0004801	      1	transaldolase activity                                                                                                                                                                     	molecular_function
GO:0060961	      1	phospholipase D inhibitor activity                                                                                                                                                         	molecular_function
GO:0008488	      1	gamma-glutamyl carboxylase activity                                                                                                                                                        	molecular_function
GO:0035284	      1	brain segmentation                                                                                                                                                                         	biological_process
GO:0001193	      1	maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II                                                                                               	biological_process
GO:0090209	      1	negative regulation of triglyceride metabolic process                                                                                                                                      	biological_process
GO:0032810	      1	sterol response element binding                                                                                                                                                            	molecular_function
GO:0004149	      1	dihydrolipoyllysine-residue succinyltransferase activity                                                                                                                                   	molecular_function
GO:0003920	      1	GMP reductase activity                                                                                                                                                                     	molecular_function
GO:1902560	      1	GMP reductase complex                                                                                                                                                                      	cellular_component
GO:0070325	      1	lipoprotein particle receptor binding                                                                                                                                                      	molecular_function
GO:0070326	      1	very-low-density lipoprotein particle receptor binding                                                                                                                                     	molecular_function
GO:0060244	      1	negative regulation of cell proliferation involved in contact inhibition                                                                                                                   	biological_process
GO:2001241	      1	positive regulation of extrinsic apoptotic signaling pathway in absence of ligand                                                                                                          	biological_process
GO:0071641	      1	negative regulation of macrophage inflammatory protein 1 alpha production                                                                                                                  	biological_process
GO:0071644	      1	negative regulation of chemokine (C-C motif) ligand 4 production                                                                                                                           	biological_process
GO:0071650	      1	negative regulation of chemokine (C-C motif) ligand 5 production                                                                                                                           	biological_process
GO:0060213	      1	positive regulation of nuclear-transcribed mRNA poly(A) tail shortening                                                                                                                    	biological_process
GO:0007406	      1	negative regulation of neuroblast proliferation                                                                                                                                            	biological_process
GO:0141108	      1	transporter regulator activity                                                                                                                                                             	molecular_function
GO:0034760	      1	negative regulation of iron ion transmembrane transport                                                                                                                                    	biological_process
GO:0031861	      1	prolactin-releasing peptide receptor binding                                                                                                                                               	molecular_function
GO:0033500	      1	carbohydrate homeostasis                                                                                                                                                                   	biological_process
GO:0071305	      1	cellular response to vitamin D                                                                                                                                                             	biological_process
GO:0071374	      1	cellular response to parathyroid hormone stimulus                                                                                                                                          	biological_process
GO:1904383	      1	response to sodium phosphate                                                                                                                                                               	biological_process
GO:0004621	      1	glycosylphosphatidylinositol phospholipase D activity                                                                                                                                      	molecular_function
GO:0010694	      1	positive regulation of alkaline phosphatase activity                                                                                                                                       	biological_process
GO:0051238	      1	sequestering of metal ion                                                                                                                                                                  	biological_process
GO:0070523	      1	11-beta-hydroxysteroid dehydrogenase (NAD+) activity                                                                                                                                       	molecular_function
GO:0034650	      1	cortisol metabolic process                                                                                                                                                                 	biological_process
GO:0010255	      1	glucose mediated signaling pathway                                                                                                                                                         	biological_process
GO:0051935	      1	glutamate reuptake                                                                                                                                                                         	biological_process
GO:0021569	      1	rhombomere 3 development                                                                                                                                                                   	biological_process
GO:0021658	      1	rhombomere 3 morphogenesis                                                                                                                                                                 	biological_process
GO:1905292	      1	regulation of neural crest cell differentiation                                                                                                                                            	biological_process
GO:0032915	      1	positive regulation of transforming growth factor beta2 production                                                                                                                         	biological_process
GO:0003342	      1	proepicardium development                                                                                                                                                                  	biological_process
GO:0048534	      1	hematopoietic or lymphoid organ development                                                                                                                                                	biological_process
GO:0001010	      1	RNA polymerase II sequence-specific DNA-binding transcription factor recruiting activity                                                                                                   	molecular_function
GO:1904778	      1	positive regulation of protein localization to cell cortex                                                                                                                                 	biological_process
GO:0047298	      1	(S)-3-amino-2-methylpropionate transaminase activity                                                                                                                                       	molecular_function
GO:0009449	      1	gamma-aminobutyric acid biosynthetic process                                                                                                                                               	biological_process
GO:0009450	      1	gamma-aminobutyric acid catabolic process                                                                                                                                                  	biological_process
GO:0014053	      1	negative regulation of gamma-aminobutyric acid secretion                                                                                                                                   	biological_process
GO:0031652	      1	positive regulation of heat generation                                                                                                                                                     	biological_process
GO:0060231	      1	mesenchymal to epithelial transition                                                                                                                                                       	biological_process
GO:0060421	      1	positive regulation of heart growth                                                                                                                                                        	biological_process
GO:0072075	      1	metanephric mesenchyme development                                                                                                                                                         	biological_process
GO:0072112	      1	podocyte differentiation                                                                                                                                                                   	biological_process
GO:2001076	      1	positive regulation of metanephric ureteric bud development                                                                                                                                	biological_process
GO:0010045	      1	response to nickel cation                                                                                                                                                                  	biological_process
GO:1905636	      1	positive regulation of RNA polymerase II regulatory region sequence-specific DNA binding                                                                                                   	biological_process
GO:0140537	      1	transcription regulator activator activity                                                                                                                                                 	molecular_function
GO:0042567	      1	insulin-like growth factor ternary complex                                                                                                                                                 	cellular_component
GO:1990009	      1	retinal cell apoptotic process                                                                                                                                                             	biological_process
GO:0086020	      1	gap junction channel activity involved in SA node cell-atrial cardiac muscle cell electrical coupling                                                                                      	molecular_function
GO:0031854	      1	orexigenic neuropeptide QRFP receptor binding                                                                                                                                              	molecular_function
GO:0060789	      1	hair follicle placode formation                                                                                                                                                            	biological_process
GO:2001136	      1	negative regulation of endocytic recycling                                                                                                                                                 	biological_process
GO:0051148	      1	negative regulation of muscle cell differentiation                                                                                                                                         	biological_process
GO:0070052	      1	collagen V binding                                                                                                                                                                         	molecular_function
GO:1905035	      1	negative regulation of antifungal innate immune response                                                                                                                                   	biological_process
GO:0032145	      1	succinate-semialdehyde dehydrogenase binding                                                                                                                                               	molecular_function
GO:0008828	      1	dATP diphosphatase activity                                                                                                                                                                	molecular_function
GO:0106377	      1	2-hydroxy-ATP hydrolase activity                                                                                                                                                           	molecular_function
GO:0106378	      1	2-hydroxy-dATP hydrolase activity                                                                                                                                                          	molecular_function
GO:1904684	      1	negative regulation of metalloendopeptidase activity                                                                                                                                       	biological_process
GO:0021529	      1	spinal cord oligodendrocyte cell differentiation                                                                                                                                           	biological_process
GO:0004103	      1	choline kinase activity                                                                                                                                                                    	molecular_function
